horizon,A0,m0,time_to_fs3,time_to_fs6,time_to_fs12,viable_fs3,viable_fs6,viable_fs12,impact_cum_end,FS_end,BC_end,employees_end,pct_months_U_pos,avg_U,A_end,m_end,p_eff_last,phase_final,fs_cov_final
120,10.0,40.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1600.0,10.0,40.0,,1.0,0.0
120,10.0,50.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,10.0,50.0,,1.0,0.0
120,10.0,75.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1250.0,10.0,75.0,,1.0,0.0
120,10.0,100.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1000.0,10.0,100.0,,1.0,0.0
120,10.0,150.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-500.0,10.0,150.0,,1.0,0.0
120,10.0,250.0,34.0,,,0,0,0,10152.232826789786,7251.594876278417,3295.9243666118173,3,0.325,206.95633414002774,11.014715924716613,266.2196313147357,0.22576064604190327,1.0,2.417198292092806
120,25.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1875.0,25.0,5.0,,1.0,0.0
120,25.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1750.0,25.0,10.0,,1.0,0.0
120,25.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1625.0,25.0,15.0,,1.0,0.0
120,25.0,20.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,25.0,20.0,,1.0,0.0
120,25.0,25.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1375.0,25.0,25.0,,1.0,0.0
120,25.0,40.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1000.0,25.0,40.0,,1.0,0.0
120,25.0,50.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-750.0,25.0,50.0,,1.0,0.0
120,25.0,75.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-125.0,25.0,75.0,,1.0,0.0
120,25.0,100.0,37.0,,,0,0,0,10141.762020964008,7244.115729260005,3299.280823344975,3,0.35833333333333334,103.67128469805124,26.013669367412707,106.48152160981684,0.22648083108119965,1.0,2.4147052430866682
120,25.0,150.0,12.0,48.0,,1,1,0,42043.592740060565,30031.13767147183,34844.16085653066,5,1.0,1124.5662757897514,27.929088842132522,179.8285696831704,0.3498491242974271,3.0,6.006227534294366
120,25.0,250.0,5.0,18.0,,1,1,0,115181.48527712599,82272.48948366144,142689.46630427713,7,1.0,3474.425815970681,30.170269674919187,344.2178884050025,0.4887784234129623,3.0,11.753212783380206
120,50.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1750.0,50.0,5.0,,1.0,0.0
120,50.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,50.0,10.0,,1.0,0.0
120,50.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1250.0,50.0,15.0,,1.0,0.0
